DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/18/2016,8:10,STATEN ISLAND,10312,40.5405508,-74.1931974,"(40.5405508, -74.1931974)",RATHBUN AVENUE                  ,NIPPON AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3542705,PASSENGER VEHICLE,,,,
10/18/2016,8:10,BROOKLYN,11238,40.6864547,-73.9681074,"(40.6864547, -73.9681074)",,,107       GREENE AVENUE                 ,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3542406,PASSENGER VEHICLE,BICYCLE,,,
10/18/2016,8:10,BROOKLYN,11234,40.6261739,-73.9222336,"(40.6261739, -73.9222336)",,,5515      AVENUE K                      ,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3543613,PASSENGER VEHICLE,,,,
10/18/2016,8:10,BROOKLYN,11218,40.6312756,-73.976049,"(40.6312756, -73.976049)",18 AVENUE                       ,EAST 2 STREET,,1,0,0,0,0,0,1,0,Unspecified,,,,,3548212,PASSENGER VEHICLE,,,,
10/18/2016,8:10,BROOKLYN,11217,40.6827366,-73.9722339,"(40.6827366, -73.9722339)",,,718       ATLANTIC AVENUE               ,1,0,0,0,0,0,1,0,Glare,Unspecified,,,,3542676,PICK-UP TRUCK,PASSENGER VEHICLE,,,
10/18/2016,8:10,,,40.7741706,-73.8293296,"(40.7741706, -73.8293296)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3542313,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/18/2016,8:10,,,40.7713758,-73.8771311,"(40.7713758, -73.8771311)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3542784,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/18/2016,8:10,,,40.7415268,-73.7845496,"(40.7415268, -73.7845496)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3542785,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/18/2016,8:10,,,40.7365373,-73.8560987,"(40.7365373, -73.8560987)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3542817,SPORT UTILITY / STATION WAGON,,,,
10/18/2016,8:10,,,40.7361484,-73.9265043,"(40.7361484, -73.9265043)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3542842,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/18/2016,8:10,QUEENS,11426,40.7351801,-73.7183457,"(40.7351801, -73.7183457)",HILLSIDE AVENUE                 ,249 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3542378,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/18/2016,8:10,QUEENS,11417,40.6719314,-73.8516353,"(40.6719314, -73.8516353)",NORTH CONDUIT AVENUE            ,84 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3542302,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
