School DBN,Date,Enrolled,Absent,Present,Released
03M541,20180905,440,10,429,1
03M541,20180906,441,10,431,0
03M541,20180907,441,8,433,0
03M541,20180912,441,9,432,0
03M541,20180913,441,6,435,0
03M541,20180914,441,8,433,0
03M541,20180917,441,9,432,0
03M541,20180918,441,7,434,0
03M541,20180920,441,6,435,0
03M541,20180921,441,12,429,0
03M541,20180924,441,9,432,0
03M541,20180925,441,12,429,0
03M541,20180926,441,6,435,0
03M541,20180927,441,3,438,0
03M541,20180928,441,9,432,0
03M541,20181001,440,8,432,0
03M541,20181002,440,4,436,0
03M541,20181003,441,9,432,0
03M541,20181004,441,12,429,0
03M541,20181005,441,9,431,1
03M541,20181009,441,5,436,0
03M541,20181010,441,12,429,0
03M541,20181011,441,10,431,0
03M541,20181012,441,4,437,0
03M541,20181015,441,8,433,0
03M541,20181016,441,6,435,0
03M541,20181017,441,3,438,0
03M541,20181018,441,5,436,0
03M541,20181019,441,4,437,0
03M541,20181022,441,12,429,0
03M541,20181023,441,6,435,0
03M541,20181024,441,5,436,0
03M541,20181025,441,5,436,0
03M541,20181026,441,10,431,0
03M541,20181029,441,6,435,0
03M541,20181030,441,3,438,0
03M541,20181031,441,5,436,0
03M541,20181101,441,10,430,1
03M541,20181102,441,10,431,0
03M541,20181105,441,9,432,0
03M541,20181107,441,5,435,1
03M541,20181108,441,9,432,0
03M541,20181109,441,16,425,0
03M541,20181113,441,9,432,0
03M541,20181114,441,6,435,0
03M541,20181115,441,11,430,0
03M541,20181116,441,19,422,0
03M541,20181119,440,4,436,0
03M541,20181120,440,4,436,0
03M541,20181121,440,15,425,0
03M541,20181126,440,11,429,0
03M541,20181127,440,3,437,0
03M541,20181128,440,7,433,0
03M541,20181129,440,3,437,0
03M541,20181130,440,4,436,0
03M541,20181203,440,10,430,0
03M541,20181204,440,5,434,1
03M541,20181205,440,4,436,0
03M541,20181206,440,5,435,0
03M541,20181207,440,8,432,0
03M541,20181210,440,8,432,0
03M541,20181211,440,7,433,0
03M541,20181212,440,8,432,0
03M541,20181213,440,13,427,0
03M541,20181214,440,8,431,1
03M541,20181217,440,8,432,0
03M541,20181218,440,5,435,0
03M541,20181219,440,6,434,0
03M541,20181220,440,8,432,0
03M541,20181221,440,16,423,1
03M541,20190102,438,19,418,1
03M541,20190103,437,10,426,1
03M541,20190104,437,11,425,1
03M541,20190107,437,5,432,0
03M541,20190108,437,16,421,0
03M541,20190109,437,7,430,0
03M541,20190110,437,9,428,0
03M541,20190111,437,10,427,0
03M541,20190114,437,9,428,0
03M541,20190115,437,8,429,0
03M541,20190116,437,5,432,0
03M541,20190117,437,3,434,0
03M541,20190118,437,11,426,0
03M541,20190129,436,5,430,1
03M541,20190130,436,9,426,1
03M541,20190131,436,65,369,2
03M541,20190201,436,21,414,1
03M541,20190204,436,10,424,2
03M541,20190206,437,7,430,0
03M541,20190207,438,3,435,0
03M541,20190208,439,11,428,0
03M541,20190211,439,11,427,1
03M541,20190212,439,17,422,0
03M541,20190213,438,14,424,0
03M541,20190214,438,12,426,0
03M541,20190215,438,19,419,0
03M541,20190225,438,22,416,0
03M541,20190226,438,21,417,0
03M541,20190227,438,16,422,0
03M541,20190228,438,14,424,0
03M541,20190301,438,15,423,0
03M541,20190305,438,10,428,0
03M541,20190306,438,14,424,0
03M541,20190307,438,14,424,0
03M541,20190308,438,18,420,0
03M541,20190311,438,9,429,0
03M541,20190312,438,11,427,0
03M541,20190313,438,6,432,0
03M541,20190314,438,5,433,0
03M541,20190315,438,11,427,0
03M541,20190318,438,14,424,0
03M541,20190319,438,12,426,0
03M541,20190320,438,13,425,0
03M541,20190321,438,12,426,0
03M541,20190322,438,12,426,0
03M541,20190325,438,12,426,0
03M541,20190326,438,10,427,1
03M541,20190327,438,12,426,0
03M541,20190328,438,21,417,0
03M541,20190329,438,15,423,0
03M541,20190401,437,10,426,1
03M541,20190402,437,11,426,0
03M541,20190403,437,13,424,0
03M541,20190404,437,9,427,1
03M541,20190405,437,7,430,0
03M541,20190408,437,15,422,0
03M541,20190409,437,12,425,0
03M541,20190410,437,10,427,0
03M541,20190411,437,13,424,0
03M541,20190412,437,8,429,0
03M541,20190415,437,19,418,0
03M541,20190416,437,14,423,0
03M541,20190417,437,5,432,0
03M541,20190418,437,14,423,0
03M541,20190429,437,22,415,0
03M541,20190430,437,19,418,0
03M541,20190501,437,15,422,0
03M541,20190502,437,13,424,0
03M541,20190503,437,10,426,1
03M541,20190506,437,12,424,1
03M541,20190507,437,11,426,0
03M541,20190508,437,9,428,0
03M541,20190509,437,16,421,0
03M541,20190510,437,15,422,0
03M541,20190513,437,14,422,1
03M541,20190514,437,10,427,0
03M541,20190515,437,8,428,1
03M541,20190516,437,9,427,1
03M541,20190517,437,12,425,0
03M541,20190520,437,21,416,0
03M541,20190521,437,11,426,0
03M541,20190522,437,13,423,1
03M541,20190523,437,21,416,0
03M541,20190524,437,21,415,1
03M541,20190528,437,21,416,0
03M541,20190529,437,11,425,1
03M541,20190530,437,12,425,0
03M541,20190531,437,16,420,1
03M541,20190603,437,24,413,0
03M541,20190605,437,25,412,0
03M541,20190607,437,22,415,0
03M541,20190610,437,17,420,0
03M541,20190611,437,23,414,0
03M541,20190612,437,12,424,1
03M541,20190613,437,9,427,1
03M541,20190614,437,9,428,0
03M541,20190617,437,25,412,0
03M541,20190626,437,8,428,1
