Name,Period,Diet,Country
Aardonyx,Jurassic,herbivore,South Africa
Abelisaurus,Cretaceous       ,carnivore,South America
Abrictosaurus,Jurassic,herbivore,South Africa
Abrosaurus,Jurassic,herbivore,China
Abydosaurus,Cretaceous,herbivore,North America
Acanthopholis,Cretaceous,herbivore,England
Achelousaurus,Cretaceous,herbivore,North America
Acheroraptor,Cretaceous,carnivore,North America
Achillesaurus,Cretaceous,carnivore,South America
Achillobator,Cretaceous,carnivore,Mongolia
Acristavus,Cretaceous,herbivore,North America
Acrocanthosaurus,Cretaceous,carnivore,North America
Acrotholus,Cretaceous,herbivore,North America
Adamantisaurus,Cretaceous,herbivore,South America
Adasaurus,Cretaceous,carnivore,Mongolia
Adeopapposaurus,Jurassic,herbivore,South America
Adratiklit,Jurassic,herbivore,Morocco
Adynomosaurus,Cretaceous,herbivore,Spain
Aegyptosaurus,Cretaceous,herbivore,"Egypt, Niger"
Aeolosaurus,Cretaceous,herbivore,South America
Aepisaurus,Cretaceous,herbivore,France
Aerosteon,Cretaceous,carnivore,South America
Aetonyx,Jurassic,herbivore,"South Africa, Lesotho, Zimbabwe"
Afrovenator,Jurassic,carnivore,Niger
Agathaumas,Cretaceous,herbivore,North America
Agilisaurus,Jurassic,herbivore,China
Agrosaurus,Triassic,herbivore,England
Agujaceratops,Cretaceous,herbivore,North America
Agustinia,Cretaceous,herbivore,South America
Ahshislepelta,Cretaceous,herbivore,North America
Airakoraptor,Cretaceous,carnivore,Mongolia
Ajkaceratops,Cretaceous,herbivore,Hungary
Akainacephalus,Cretaceous,herbivore,North America
Alamosaurus,Cretaceous,herbivore,North America
Alaskacephale,Cretaceous,herbivore,North America
Albalophosaurus,Cretaceous,herbivore,Japan
Albertaceratops,Cretaceous,herbivore,North America
Albertadromeus,Cretaceous,herbivore,North America
Albertonykus,Cretaceous,carnivore/insectivore,North America
Albertosaurus,Cretaceous,carnivore,North America
Albinykus,Cretaceous,carnivore,Mongolia
Alcovasaurus,Jurassic,herbivore,North America
Alectrosaurus,Cretaceous,carnivore,Mongolia
Aletopelta,Cretaceous,herbivore,North America
Algoasaurus,Jurassic/Cretaceous,herbivore,South Africa
Alioramus,Cretaceous,carnivore,Mongolia (& China?)
Allosaurus,Jurassic,carnivore,North America
Allosaurus,Jurassic,carnivore,"Tanzania, USA, & Portugal"
Allosaurus,Jurassic,carnivore,"Portugal, USA, & Tanzania"
Alnashetri,Cretaceous,carnivore,South America
