EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
494671,Shooting Permit,6/30/19 8:00,6/30/19 22:00,6/26/19 20:52,"Mayor's Office of Film, Theatre & Broadcasting","BOND STREET between BROADWAY and LAFAYETTE STREET,  BROADWAY between WEST HOUSTON STREET and EAST    4 STREET,  BROADWAY between BOND STREET and BLEECKER STREET,  BLEECKER STREET between MERCER STREET and LAFAYETTE STREET,  COOPER SQUARE between EAST    5 STREET and EAST    6 STREET",Manhattan,"2, 3","6, 9",Film,Feature,United States of America,"10003, 10012"
494668,Shooting Permit,6/30/19 5:30,6/30/19 19:30,6/26/19 20:19,"Mayor's Office of Film, Theatre & Broadcasting","WEST  154 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE,  AMSTERDAM AVENUE between WEST  153 STREET and WEST  154 STREET,  ST NICHOLAS AVENUE between WEST  153 STREET and WEST  154 STREET,  ST NICHOLAS AVENUE between WEST  152 STREET and WEST  153 STREET,  ST NICHOLAS AVENUE between WEST  151 STREET and WEST  152 STREET,  CONVENT AVENUE between WEST  151 STREET and WEST  152 STREET,  WEST  151 STREET between CONVENT AVENUE and ST NICHOLAS AVENUE,  AMSTERDAM AVENUE between WEST  153 STREET and WEST  155 STREET,  WEST  153 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE,  AMSTERDAM AVENUE between WEST  153 STREET and WEST  154 STREET,  WEST  153 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE,  WEST  154 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE,  WEST  153 STREET between AMSTERDAM AVENUE and BROADWAY,  WEST  155 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE,  WEST  155 STREET between AMSTERDAM AVENUE and BROADWAY",Manhattan,"12, 9","30, 33",Film,Feature,United States of America,"10031, 10032"
494922,Shooting Permit,6/30/19 4:00,6/30/19 11:00,6/28/19 9:01,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
494436,Shooting Permit,6/29/19 10:00,6/29/19 22:00,6/25/19 23:28,"Mayor's Office of Film, Theatre & Broadcasting","EAST   33 STREET between PARK AVENUE and MADISON AVENUE,  WEST   31 STREET between 6 AVENUE and 7 AVENUE",Manhattan,5,14,Film,Feature,United States of America,"10001, 10016, 10121"
494702,Shooting Permit,6/29/19 8:00,6/29/19 20:00,6/27/19 9:03,"Mayor's Office of Film, Theatre & Broadcasting","EAST   63 STREET between 5 AVENUE and MADISON AVENUE,  EAST   62 STREET between 5 AVENUE and MADISON AVENUE,  5 AVENUE between EAST   64 STREET and EAST   63 STREET,  MADISON AVENUE between EAST   63 STREET and EAST   62 STREET,  MADISON AVENUE between EAST   62 STREET and EAST   61 STREET,  MADISON AVENUE between EAST   62 STREET and EAST   61 STREET",Manhattan,"64, 8","19, 22",Television,Cable-episodic,United States of America,10065
494507,Shooting Permit,6/29/19 7:00,6/29/19 18:00,6/26/19 11:08,"Mayor's Office of Film, Theatre & Broadcasting","REMSEN STREET between MONTAGUE TERRACE and DEAD END,  REMSEN STREET between MONTAGUE TERRACE and HICKS STREET",Brooklyn,2,84,Still Photography,Not Applicable,United States of America,11201
493931,Shooting Permit,6/29/19 7:00,6/29/19 19:00,6/24/19 7:37,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST  153 STREET and WEST  154 STREET,  AMSTERDAM AVENUE between WEST  154 STREET and WEST  155 STREET,  WEST  154 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE",Manhattan,9,30,Film,Feature,United States of America,10032
490188,Shooting Permit,6/29/19 7:00,6/30/19 18:00,6/6/19 7:46,"Mayor's Office of Film, Theatre & Broadcasting","BROADWAY between WEST   25 STREET and 5 AVENUE,  5TH AVENUE between BROADWAY and WEST   24 STREET,  WEST   24 STREET between 5 AVENUE and 6 AVENUE,  4 AVENUE between EAST    9 STREET and EAST   10 STREET",Manhattan,"2, 3, 5","13, 9",Television,Special/Awards Show,United States of America,"10003, 10010"
494786,Shooting Permit,6/29/19 7:00,6/29/19 23:00,6/27/19 13:36,"Mayor's Office of Film, Theatre & Broadcasting",WEST  125 STREET between 12 AVENUE and ST CLAIR PLACE,Manhattan,9,26,Still Photography,Not Applicable,United States of America,10027
494233,Shooting Permit,6/29/19 6:00,6/29/19 23:00,6/25/19 10:50,"Mayor's Office of Film, Theatre & Broadcasting",WEST   52 STREET between 6 AVENUE and 5 AVENUE,Manhattan,5,18,Commercial,Commercial,United States of America,"10019, 10103"
493958,Shooting Permit,6/29/19 6:00,6/29/19 20:00,6/24/19 9:59,"Mayor's Office of Film, Theatre & Broadcasting",LISPENARD STREET between CHURCH STREET and BROADWAY,Manhattan,1,1,Commercial,Commercial,United States of America,10013
494920,Shooting Permit,6/29/19 4:00,6/29/19 11:00,6/28/19 8:56,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
494927,Theater Load in and Load Outs,6/29/19 0:01,6/30/19 6:00,6/28/19 9:33,"Mayor's Office of Film, Theatre & Broadcasting","WEST   31 STREET between 7 AVENUE and 8 AVENUE,  8 AVENUE between WEST   31 STREET and WEST   33 STREET",Manhattan,"4, 5",14,Theater,Theater,United States of America,"10001, 10121"
485790,Theater Load in and Load Outs,6/29/19 0:01,6/30/19 8:00,5/17/19 15:37,"Mayor's Office of Film, Theatre & Broadcasting",3 AVENUE between EAST   11 STREET and EAST   12 STREET,Manhattan,"11, 3","23, 9",Theater,Theater,United States of America,"10003, 10029"
494453,Shooting Permit,6/28/19 17:00,6/29/19 6:00,6/26/19 9:26,"Mayor's Office of Film, Theatre & Broadcasting","PRINCE STREET between LAFAYETTE STREET and BOWERY,  MOTT STREET between EAST HOUSTON STREET and PRINCE STREET,  ELIZABETH STREET between EAST HOUSTON STREET and PRINCE STREET,  ELIZABETH STREET between PRINCE STREET and SPRING STREET,  BOWERY between EAST HOUSTON STREET and PRINCE STREET,  BOWERY between PRINCE STREET and SPRING STREET,  MULBERRY STREET between PRINCE STREET and JERSEY STREET,  MOTT STREET between PRINCE STREET and SPRING STREET",Brooklyn,"2, 3, 6","5, 78",Film,Feature,Canada,"10002, 10012, 11215"
494776,Shooting Permit,6/28/19 16:00,6/29/19 7:00,6/27/19 13:03,"Mayor's Office of Film, Theatre & Broadcasting","MCCLEAN AVENUE between CONGER STREET and OCEAN AVENUE,  OCEAN AVENUE between MCCLEAN AVENUE and CEDAR AVENUE,  OCEAN AVE between CEDAR AVENUE and ROBIN ROAD,  FLORIDA AVENUE between MCCLEAN AVENUE and MAJOR AVENUE,  HASTINGS STREET between MCCLEAN AVENUE and MAJOR AVENUE,  RAILROAD AVENUE between MCCLEAN AVENUE and CEDAR AVENUE,  CONGER STREET between MCCLEAN AVENUE and CEDAR AVENUE,  MCCLEAN AVENUE between OCEAN AVENUE and LILY POND AVENUE",Staten Island,2,122,Film,Feature,United States of America,10305
494380,Shooting Permit,6/28/19 16:00,6/29/19 6:00,6/25/19 16:43,"Mayor's Office of Film, Theatre & Broadcasting","BENEDICT ROAD between SAINT JAMES PLACE and CIRCLE ROAD,  SAINT JAMES PLACE between BENEDICT ROAD and BUTTONWOOD ROAD,  BUTTONWOOD ROAD between CIRCLE ROAD and ST JAMES PLACE,  LINK ROAD between BENEDICT ROAD and BUTTONWOOD ROAD,  RICHMOND ROAD between DONGAN HILLS AVENUE and SEAVER AVENUE,  JEFFERSON STREET between DONGAN HILLS AVENUE and SEAVER AVENUE",Staten Island,2,122,Television,Episodic series,United States of America,"10304, 10306"
494731,Shooting Permit,6/28/19 14:00,6/29/19 3:00,6/27/19 10:57,"Mayor's Office of Film, Theatre & Broadcasting","AUDUBON AVENUE between WEST  174 STREET and WEST  176 STREET,  WEST  175 STREET between ST NICHOLAS AVENUE and AMSTERDAM AVENUE,  WEST  174 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  WEST  174 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  WEST  174 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  WEST  176 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  WEST  176 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  ST NICHOLAS AVENUE between WEST  173 STREET and WEST  174 STREET,  ST NICHOLAS AVENUE between WEST  174 STREET and WEST  175 STREET,  ST NICHOLAS AVENUE between WEST  175 STREET and WEST  176 STREET,  WADSWORTH AVENUE between WEST  174 STREET and WEST  175 STREET,  ST NICHOLAS AVENUE between WEST  178 STREET and WEST  179 STREET,  ST NICHOLAS AVENUE between WEST  179 STREET and WEST  180 STREET,  ST NICHOLAS AVENUE between WEST  179 STREET and WEST  180 STREET,  WEST  179 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  FORT WASHINGTON AVENUE between WEST  180 STREET and WEST  181 STREET,  WEST  180 STREET between FORT WASHINGTON AVENUE and BROADWAY",Manhattan,12,"33, 34",Film,Feature,United States of America,10033
494717,Shooting Permit,6/28/19 14:00,6/29/19 4:00,6/27/19 10:18,"Mayor's Office of Film, Theatre & Broadcasting","KENT AVENUE between NORTH    8 STREET and NORTH    4 STREET,  KENT AVENUE between NORTH    5 STREET and NORTH    7 STREET,  NORTH    6 STREET between KENT AVENUE and NORTH    6 PLACE,  NORTH    7 STREET between KENT AVENUE and DEAD END,  NORTH    8 STREET between KENT AVENUE and WYTHE AVENUE,  JAVA STREET between WEST STREET and DEAD END,  KENT STREET between WEST STREET and DEAD END,  GREENPOINT AVENUE between WEST STREET and DEAD END,  Milton Street between WEST STREET and Dead End",Brooklyn,1,94,Television,Cable-episodic,United States of America,"11222, 11249"
494728,Shooting Permit,6/28/19 11:00,6/28/19 23:00,6/27/19 10:45,"Mayor's Office of Film, Theatre & Broadcasting","STARR STREET between IRVING AVENUE and KNICKERBOCKER AVENUE,  TROUTMAN STREET between ST NICHOLAS AVENUE and CYPRESS AVENUE,  TROUTMAN STREET between ST NICHOLAS AVENUE and WYKOFF AVENUE",Brooklyn,4,83,Commercial,Commercial,United States of America,11237
494312,Shooting Permit,6/28/19 11:00,6/29/19 0:00,6/25/19 14:36,"Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between VAN DAM STREET and BORDEN AVENUE,  REVIEW AVENUE between BORDEN AVENUE and 35 STREET",Queens,2,108,Television,Cable-other,United States of America,11101
494519,Shooting Permit,6/28/19 11:00,6/29/19 3:00,6/26/19 11:49,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST  142 STREET and WEST  145 STREET,  WEST  145 STREET between BROADWAY and AMSTERDAM AVENUE,  CONVENT AVENUE between WEST  143 STREET and WEST  145 STREET,  WEST  144 STREET between CONVENT AVENUE and HAMILTON TERRACE,  WEST  143 STREET between AMSTERDAM AVENUE and CONVENT AVENUE",Manhattan,9,30,Television,Episodic series,United States of America,10031
494708,Shooting Permit,6/28/19 9:00,6/29/19 4:00,6/27/19 9:38,"Mayor's Office of Film, Theatre & Broadcasting",29 STREET between 47 AVENUE and 49 AVENUE,Queens,2,108,Television,Cable-episodic,United States of America,11101
493024,Theater Load in and Load Outs,6/28/19 9:00,6/28/19 17:00,6/18/19 16:39,"Mayor's Office of Film, Theatre & Broadcasting",ASHLAND PLACE between HANSON PLACE and FULTON STREET,Brooklyn,2,88,Theater,Theater,United States of America,11217
